BIP39 dice table -- throw 5d6, read left to right    page 1 of 45
1632 of 7776 throws say (reroll)  this page: 1-1-1-1-1 .. 1-1-5-5-6

1-1-1-1-1  abandon     1-1-2-4-5  also        1-1-4-2-3  attend
2-4-1-2-6  virtual     2-4-2-6-4  wing        2-4-4-4-2  actual
2-4-1-3-1  virus       2-4-2-6-5  wink        2-4-4-4-3  adapt
2-4-1-3-2  visa        2-4-2-6-6  winner      2-4-4-4-4  add
2-4-1-3-3  visit       2-4-3-1-1  winter      2-4-4-4-5  addict
2-4-1-3-4  visual      2-4-3-1-2  wire        2-4-4-4-6  address
2-4-1-3-5  vital       2-4-3-1-3  wisdom      2-4-4-5-1  adjust
2-4-1-3-6  vivid       2-4-3-1-4  wise        2-4-4-5-2  admit
2-4-1-4-1  vocal       2-4-3-1-5  wish        2-4-4-5-3  adult
2-4-1-4-2  voice       2-4-3-1-6  witness     2-4-4-5-4  advance
2-4-1-4-3  void        2-4-3-2-1  wolf        2-4-4-5-5  advice
2-4-1-4-4  volcano     2-4-3-2-2  woman       2-4-4-5-6  aerobic
2-4-1-4-5  volume      2-4-3-2-3  wonder      2-4-4-6-1  affair
2-4-1-4-6  vote        2-4-3-2-4  wood        2-4-4-6-2  afford
2-4-1-5-1  voyage      2-4-3-2-5  wool        2-4-4-6-3  afraid
2-4-1-5-2  wage        2-4-3-2-6  word        2-4-4-6-4  again
2-4-1-5-3  wagon       2-4-3-3-1  work        2-4-4-6-5  age
2-4-1-5-4  wait        2-4-3-3-2  world       2-4-4-6-6  agent

BIP39 dice table -- throw 5d6, read left to right   page 13 of 45
1632 of 7776 throws say (reroll)  this page: 2-4-5-1-1 .. 2-5-3-5-6

2-4-5-1-1  agree       2-4-6-4-5  arrange     2-5-2-2-3  bean
2-4-5-1-2  ahead       2-4-6-4-6  arrest      2-5-2-2-4  beauty
2-4-5-1-3  aim         2-4-6-5-1  arrive      2-5-2-2-5  because
2-4-5-1-4  air         2-4-6-5-2  arrow       2-5-2-2-6  become
2-4-5-1-5  airport     2-4-6-5-3  art         2-5-2-3-1  beef
2-4-5-1-6  aisle       2-4-6-5-4  artefact    2-5-2-3-2  before
2-4-5-2-1  alarm       2-4-6-5-5  artist      2-5-2-3-3  begin
2-4-5-2-2  album       2-4-6-5-6  artwork     2-5-2-3-4  behave
2-4-5-2-3  alcohol     2-4-6-6-1  ask         2-5-2-3-5  behind
2-4-5-2-4  alert       2-4-6-6-2  aspect      2-5-2-3-6  believe
2-4-5-2-5  alien       2-4-6-6-3  assault     2-5-2-4-1  below
2-4-5-2-6  all         2-4-6-6-4  asset       2-5-2-4-2  belt
2-4-5-3-1  alley       2-4-6-6-5  assist      2-5-2-4-3  bench
2-4-5-3-2  allow       2-4-6-6-6  assume      2-5-2-4-4  benefit
2-4-5-3-3  almost      2-5-1-1-1  asthma      2-5-2-4-5  best
2-4-5-3-4  alone       2-5-1-1-2  athlete     2-5-2-4-6  betray
2-4-5-3-5  alpha       2-5-1-1-3  atom        2-5-2-5-1  better
2-4-5-3-6  already     2-5-1-1-4  attack      2-5-2-5-2  between
2-4-5-4-1  also        2-5-1-1-5  attend      2-5-2-5-3  beyond
2-4-5-4-2  alter       2-5-1-1-6  attitude    2-5-2-5-4  bicycle
2-4-5-4-3  always      2-5-1-2-1  attract     2-5-2-5-5  bid
2-4-5-4-4  amateur     2-5-1-2-2  auction     2-5-2-5-6  bike
2-4-5-4-5  amazing     2-5-1-2-3  audit       2-5-2-6-1  bind
2-4-5-4-6  among       2-5-1-2-4  august      2-5-2-6-2  biology
2-4-5-5-1  amount      2-5-1-2-5  aunt        2-5-2-6-3  bird
2-4-5-5-2  amused      2-5-1-2-6  author      2-5-2-6-4  birth
2-4-5-5-3  analyst     2-5-1-3-1  auto        2-5-2-6-5  bitter
2-4-5-5-4  anchor      2-5-1-3-2  autumn      2-5-2-6-6  black
2-4-5-5-5  ancient     2-5-1-3-3  average     2-5-3-1-1  blade
2-4-5-5-6  anger       2-5-1-3-4  avocado     2-5-3-1-2  blame
2-4-5-6-1  angle       2-5-1-3-5  avoid       2-5-3-1-3  blanket
2-4-5-6-2  angry       2-5-1-3-6  awake       2-5-3-1-4  blast
2-4-5-6-3  animal      2-5-1-4-1  aware       2-5-3-1-5  bleak
2-4-5-6-4  ankle       2-5-1-4-2  away        2-5-3-1-6  bless
2-4-5-6-5  announce    2-5-1-4-3  awesome     2-5-3-2-1  blind
2-4-5-6-6  annual      2-5-1-4-4  awful       2-5-3-2-2  blood
2-4-6-1-1  another     2-5-1-4-5  awkward     2-5-3-2-3  blossom
2-4-6-1-2  answer      2-5-1-4-6  axis        2-5-3-2-4  blouse
2-4-6-1-3  antenna     2-5-1-5-1  baby        2-5-3-2-5  blue
2-4-6-1-4  antique     2-5-1-5-2  bachelor    2-5-3-2-6  blur
2-4-6-1-5  anxiety     2-5-1-5-3  bacon       2-5-3-3-1  blush
2-4-6-1-6  any         2-5-1-5-4  badge       2-5-3-3-2  board
2-4-6-2-1  apart       2-5-1-5-5  bag         2-5-3-3-3  boat
2-4-6-2-2  apology     2-5-1-5-6  balance     2-5-3-3-4  body
2-4-6-2-3  appear      2-5-1-6-1  balcony     2-5-3-3-5  boil
2-4-6-2-4  apple       2-5-1-6-2  ball        2-5-3-3-6  bomb
2-4-6-2-5  approve     2-5-1-6-3  bamboo      2-5-3-4-1  bone
2-4-6-2-6  april       2-5-1-6-4  banana      2-5-3-4-2  bonus
2-4-6-3-1  arch        2-5-1-6-5  banner      2-5-3-4-3  book
2-4-6-3-2  arctic      2-5-1-6-6  bar         2-5-3-4-4  boost
2-4-6-3-3  area        2-5-2-1-1  barely      2-5-3-4-5  border
2-4-6-3-4  arena       2-5-2-1-2  bargain     2-5-3-4-6  boring
2-4-6-3-5  argue       2-5-2-1-3  barrel      2-5-3-5-1  borrow
2-4-6-3-6  arm         2-5-2-1-4  base        2-5-3-5-2  boss
2-4-6-4-1  armed       2-5-2-1-5  basic       2-5-3-5-3  bottom
2-4-6-4-2  armor       2-5-2-1-6  basket      2-5-3-5-4  bounce
2-4-6-4-3  army        2-5-2-2-1  battle      2-5-3-5-5  box
2-4-6-4-4  around      2-5-2-2-2  beach       2-5-3-5-6  boy

BIP39 dice table -- throw 5d6, read left to right   page 14 of 45
1632 of 7776 throws say (reroll)  this page: 2-5-3-6-1 .. 2-6-2-4-6

2-5-3-6-1  bracket     2-5-5-3-5  capital     2-6-1-1-3  citizen
2-5-3-6-2  brain       2-5-5-3-6  captain     2-6-1-1-4  city
2-5-3-6-3  brand       2-5-5-4-1  car         2-6-1-1-5  civil
2-5-3-6-4  brass       2-5-5-4-2  carbon      2-6-1-1-6  claim
2-5-3-6-5  brave       2-5-5-4-3  card        2-6-1-2-1  clap
2-5-3-6-6  bread       2-5-5-4-4  cargo       2-6-1-2-2  clarify
2-5-4-1-1  breeze      2-5-5-4-5  carpet      2-6-1-2-3  claw
2-5-4-1-2  brick       2-5-5-4-6  carry       2-6-1-2-4  clay
2-5-4-1-3  bridge      2-5-5-5-1  cart        2-6-1-2-5  clean
2-5-4-1-4  brief       2-5-5-5-2  case        2-6-1-2-6  clerk
2-5-4-1-5  bright      2-5-5-5-3  cash        2-6-1-3-1  clever
2-5-4-1-6  bring       2-5-5-5-4  casino      2-6-1-3-2  click
2-5-4-2-1  brisk       2-5-5-5-5  castle      2-6-1-3-3  client
2-5-4-2-2  broccoli    2-5-5-5-6  casual      2-6-1-3-4  cliff
2-5-4-2-3  broken      2-5-5-6-1  cat         2-6-1-3-5  climb
2-5-4-2-4  bronze      2-5-5-6-2  catalog     2-6-1-3-6  clinic
2-5-4-2-5  broom       2-5-5-6-3  catch       2-6-1-4-1  clip
2-5-4-2-6  brother     2-5-5-6-4  category    2-6-1-4-2  clock
2-5-4-3-1  brown       2-5-5-6-5  cattle      2-6-1-4-3  clog
2-5-4-3-2  brush       2-5-5-6-6  caught      2-6-1-4-4  close
2-5-4-3-3  bubble      2-5-6-1-1  cause       2-6-1-4-5  cloth
2-5-4-3-4  buddy       2-5-6-1-2  caution     2-6-1-4-6  cloud
2-5-4-3-5  budget      2-5-6-1-3  cave        2-6-1-5-1  clown
2-5-4-3-6  buffalo     2-5-6-1-4  ceiling     2-6-1-5-2  club
2-5-4-4-1  build       2-5-6-1-5  celery      2-6-1-5-3  clump
2-5-4-4-2  bulb        2-5-6-1-6  cement      2-6-1-5-4  cluster
2-5-4-4-3  bulk        2-5-6-2-1  census      2-6-1-5-5  clutch
2-5-4-4-4  bullet      2-5-6-2-2  century     2-6-1-5-6  coach
2-5-4-4-5  bundle      2-5-6-2-3  cereal      2-6-1-6-1  coast
2-5-4-4-6  bunker      2-5-6-2-4  certain     2-6-1-6-2  coconut
2-5-4-5-1  burden      2-5-6-2-5  chair       2-6-1-6-3  code
2-5-4-5-2  burger      2-5-6-2-6  chalk       2-6-1-6-4  coffee
2-5-4-5-3  burst       2-5-6-3-1  champion    2-6-1-6-5  coil
2-5-4-5-4  bus         2-5-6-3-2  change      2-6-1-6-6  coin
2-5-4-5-5  business    2-5-6-3-3  chaos       2-6-2-1-1  collect
2-5-4-5-6  busy        2-5-6-3-4  chapter     2-6-2-1-2  color
2-5-4-6-1  butter      2-5-6-3-5  charge      2-6-2-1-3  column
2-5-4-6-2  buyer       2-5-6-3-6  chase       2-6-2-1-4  combine
2-5-4-6-3  buzz        2-5-6-4-1  chat        2-6-2-1-5  come
2-5-4-6-4  cabbage     2-5-6-4-2  cheap       2-6-2-1-6  comfort
2-5-4-6-5  cabin       2-5-6-4-3  check       2-6-2-2-1  comic
2-5-4-6-6  cable       2-5-6-4-4  cheese      2-6-2-2-2  common
2-5-5-1-1  cactus      2-5-6-4-5  chef        2-6-2-2-3  company
2-5-5-1-2  cage        2-5-6-4-6  cherry      2-6-2-2-4  concert
2-5-5-1-3  cake        2-5-6-5-1  chest       2-6-2-2-5  conduct
2-5-5-1-4  call        2-5-6-5-2  chicken     2-6-2-2-6  confirm
2-5-5-1-5  calm        2-5-6-5-3  chief       2-6-2-3-1  congress
2-5-5-1-6  camera      2-5-6-5-4  child       2-6-2-3-2  connect
2-5-5-2-1  camp        2-5-6-5-5  chimney     2-6-2-3-3  consider
2-5-5-2-2  can         2-5-6-5-6  choice      2-6-2-3-4  control
2-5-5-2-3  canal       2-5-6-6-1  choose      2-6-2-3-5  convince
2-5-5-2-4  cancel      2-5-6-6-2  chronic     2-6-2-3-6  cook
2-5-5-2-5  candy       2-5-6-6-3  chuckle     2-6-2-4-1  cool
2-5-5-2-6  cannon      2-5-6-6-4  chunk       2-6-2-4-2  copper
2-5-5-3-1  canoe       2-5-6-6-5  churn       2-6-2-4-3  copy
2-5-5-3-2  canvas      2-5-6-6-6  cigar       2-6-2-4-4  coral
2-5-5-3-3  canyon      2-6-1-1-1  cinnamon    2-6-2-4-5  core
2-5-5-3-4  capable     2-6-1-1-2  circle      2-6-2-4-6  corn

BIP39 dice table -- throw 5d6, read left to right   page 15 of 45
1632 of 7776 throws say (reroll)  this page: 2-6-2-5-1 .. 3-1-1-3-6

2-6-2-5-1  correct     2-6-4-2-5  daughter    2-6-5-6-3  disease
2-6-2-5-2  cost        2-6-4-2-6  dawn        2-6-5-6-4  dish
2-6-2-5-3  cotton      2-6-4-3-1  day         2-6-5-6-5  dismiss
2-6-2-5-4  couch       2-6-4-3-2  deal        2-6-5-6-6  disorder
2-6-2-5-5  country     2-6-4-3-3  debate      2-6-6-1-1  display
2-6-2-5-6  couple      2-6-4-3-4  debris      2-6-6-1-2  distance
2-6-2-6-1  course      2-6-4-3-5  decade      2-6-6-1-3  divert
2-6-2-6-2  cousin      2-6-4-3-6  december    2-6-6-1-4  divide
2-6-2-6-3  cover       2-6-4-4-1  decide      2-6-6-1-5  divorce
2-6-2-6-4  coyote      2-6-4-4-2  decline     2-6-6-1-6  dizzy
2-6-2-6-5  crack       2-6-4-4-3  decorate    2-6-6-2-1  doctor
2-6-2-6-6  cradle      2-6-4-4-4  decrease    2-6-6-2-2  document
2-6-3-1-1  craft       2-6-4-4-5  deer        2-6-6-2-3  dog
2-6-3-1-2  cram        2-6-4-4-6  defense     2-6-6-2-4  doll
2-6-3-1-3  crane       2-6-4-5-1  define      2-6-6-2-5  dolphin
2-6-3-1-4  crash       2-6-4-5-2  defy        2-6-6-2-6  domain
2-6-3-1-5  crater      2-6-4-5-3  degree      2-6-6-3-1  donate
2-6-3-1-6  crawl       2-6-4-5-4  delay       2-6-6-3-2  donkey
2-6-3-2-1  crazy       2-6-4-5-5  deliver     2-6-6-3-3  donor
2-6-3-2-2  cream       2-6-4-5-6  demand      2-6-6-3-4  door
2-6-3-2-3  credit      2-6-4-6-1  demise      2-6-6-3-5  dose
2-6-3-2-4  creek       2-6-4-6-2  denial      2-6-6-3-6  double
2-6-3-2-5  crew        2-6-4-6-3  dentist     2-6-6-4-1  dove
2-6-3-2-6  cricket     2-6-4-6-4  deny        2-6-6-4-2  draft
2-6-3-3-1  crime       2-6-4-6-5  depart      2-6-6-4-3  dragon
2-6-3-3-2  crisp       2-6-4-6-6  depend      2-6-6-4-4  drama
2-6-3-3-3  critic      2-6-5-1-1  deposit     2-6-6-4-5  drastic
2-6-3-3-4  crop        2-6-5-1-2  depth       2-6-6-4-6  draw
2-6-3-3-5  cross       2-6-5-1-3  deputy      2-6-6-5-1  dream
2-6-3-3-6  crouch      2-6-5-1-4  derive      2-6-6-5-2  dress
2-6-3-4-1  crowd       2-6-5-1-5  describe    2-6-6-5-3  drift
2-6-3-4-2  crucial     2-6-5-1-6  desert      2-6-6-5-4  drill
2-6-3-4-3  cruel       2-6-5-2-1  design      2-6-6-5-5  drink
2-6-3-4-4  cruise      2-6-5-2-2  desk        2-6-6-5-6  drip
2-6-3-4-5  crumble     2-6-5-2-3  despair     2-6-6-6-1  drive
2-6-3-4-6  crunch      2-6-5-2-4  destroy     2-6-6-6-2  drop
2-6-3-5-1  crush       2-6-5-2-5  detail      2-6-6-6-3  drum
2-6-3-5-2  cry         2-6-5-2-6  detect      2-6-6-6-4  dry
2-6-3-5-3  crystal     2-6-5-3-1  develop     2-6-6-6-5  duck
2-6-3-5-4  cube        2-6-5-3-2  device      2-6-6-6-6  dumb
2-6-3-5-5  culture     2-6-5-3-3  devote      3-1-1-1-1  dune
2-6-3-5-6  cup         2-6-5-3-4  diagram     3-1-1-1-2  during
2-6-3-6-1  cupboard    2-6-5-3-5  dial        3-1-1-1-3  dust
2-6-3-6-2  curious     2-6-5-3-6  diamond     3-1-1-1-4  dutch
2-6-3-6-3  current     2-6-5-4-1  diary       3-1-1-1-5  duty
2-6-3-6-4  curtain     2-6-5-4-2  dice        3-1-1-1-6  dwarf
2-6-3-6-5  curve       2-6-5-4-3  diesel      3-1-1-2-1  dynamic
2-6-3-6-6  cushion     2-6-5-4-4  diet        3-1-1-2-2  eager
2-6-4-1-1  custom      2-6-5-4-5  differ      3-1-1-2-3  eagle
2-6-4-1-2  cute        2-6-5-4-6  digital     3-1-1-2-4  early
2-6-4-1-3  cycle       2-6-5-5-1  dignity     3-1-1-2-5  earn
2-6-4-1-4  dad         2-6-5-5-2  dilemma     3-1-1-2-6  earth
2-6-4-1-5  damage      2-6-5-5-3  dinner      3-1-1-3-1  easily
2-6-4-1-6  damp        2-6-5-5-4  dinosaur    3-1-1-3-2  east
2-6-4-2-1  dance       2-6-5-5-5  direct      3-1-1-3-3  easy
2-6-4-2-2  danger      2-6-5-5-6  dirt        3-1-1-3-4  echo
2-6-4-2-3  daring      2-6-5-6-1  disagree    3-1-1-3-5  ecology
2-6-4-2-4  dash        2-6-5-6-2  discover    3-1-1-3-6  economy

BIP39 dice table -- throw 5d6, read left to right   page 16 of 45
1632 of 7776 throws say (reroll)  this page: 3-1-1-4-1 .. 3-1-6-2-6

3-1-1-4-1  edge        3-1-3-1-5  eternal     3-1-4-5-3  feel
3-1-1-4-2  edit        3-1-3-1-6  ethics      3-1-4-5-4  female
3-1-1-4-3  educate     3-1-3-2-1  evidence    3-1-4-5-5  fence
3-1-1-4-4  effort      3-1-3-2-2  evil        3-1-4-5-6  festival
3-1-1-4-5  egg         3-1-3-2-3  evoke       3-1-4-6-1  fetch
3-1-1-4-6  eight       3-1-3-2-4  evolve      3-1-4-6-2  fever
3-1-1-5-1  either      3-1-3-2-5  exact       3-1-4-6-3  few
3-1-1-5-2  elbow       3-1-3-2-6  example     3-1-4-6-4  fiber
3-1-1-5-3  elder       3-1-3-3-1  excess      3-1-4-6-5  fiction
3-1-1-5-4  electric    3-1-3-3-2  exchange    3-1-4-6-6  field
3-1-1-5-5  elegant     3-1-3-3-3  excite      3-1-5-1-1  figure
3-1-1-5-6  element     3-1-3-3-4  exclude     3-1-5-1-2  file
3-1-1-6-1  elephant    3-1-3-3-5  excuse      3-1-5-1-3  film
3-1-1-6-2  elevator    3-1-3-3-6  execute     3-1-5-1-4  filter
3-1-1-6-3  elite       3-1-3-4-1  exercise    3-1-5-1-5  final
3-1-1-6-4  else        3-1-3-4-2  exhaust     3-1-5-1-6  find
3-1-1-6-5  embark      3-1-3-4-3  exhibit     3-1-5-2-1  fine
3-1-1-6-6  embody      3-1-3-4-4  exile       3-1-5-2-2  finger
3-1-2-1-1  embrace     3-1-3-4-5  exist       3-1-5-2-3  finish
3-1-2-1-2  emerge      3-1-3-4-6  exit        3-1-5-2-4  fire
3-1-2-1-3  emotion     3-1-3-5-1  exotic      3-1-5-2-5  firm
3-1-2-1-4  employ      3-1-3-5-2  expand      3-1-5-2-6  first
3-1-2-1-5  empower     3-1-3-5-3  expect      3-1-5-3-1  fiscal
3-1-2-1-6  empty       3-1-3-5-4  expire      3-1-5-3-2  fish
3-1-2-2-1  enable      3-1-3-5-5  explain     3-1-5-3-3  fit
3-1-2-2-2  enact       3-1-3-5-6  expose      3-1-5-3-4  fitness
3-1-2-2-3  end         3-1-3-6-1  express     3-1-5-3-5  fix
3-1-2-2-4  endless     3-1-3-6-2  extend      3-1-5-3-6  flag
3-1-2-2-5  endorse     3-1-3-6-3  extra       3-1-5-4-1  flame
3-1-2-2-6  enemy       3-1-3-6-4  eye         3-1-5-4-2  flash
3-1-2-3-1  energy      3-1-3-6-5  eyebrow     3-1-5-4-3  flat
3-1-2-3-2  enforce     3-1-3-6-6  fabric      3-1-5-4-4  flavor
3-1-2-3-3  engage      3-1-4-1-1  face        3-1-5-4-5  flee
3-1-2-3-4  engine      3-1-4-1-2  faculty     3-1-5-4-6  flight
3-1-2-3-5  enhance     3-1-4-1-3  fade        3-1-5-5-1  flip
3-1-2-3-6  enjoy       3-1-4-1-4  faint       3-1-5-5-2  float
3-1-2-4-1  enlist      3-1-4-1-5  faith       3-1-5-5-3  flock
3-1-2-4-2  enough      3-1-4-1-6  fall        3-1-5-5-4  floor
3-1-2-4-3  enrich      3-1-4-2-1  false       3-1-5-5-5  flower
3-1-2-4-4  enroll      3-1-4-2-2  fame        3-1-5-5-6  fluid
3-1-2-4-5  ensure      3-1-4-2-3  family      3-1-5-6-1  flush
3-1-2-4-6  enter       3-1-4-2-4  famous      3-1-5-6-2  fly
3-1-2-5-1  entire      3-1-4-2-5  fan         3-1-5-6-3  foam
3-1-2-5-2  entry       3-1-4-2-6  fancy       3-1-5-6-4  focus
3-1-2-5-3  envelope    3-1-4-3-1  fantasy     3-1-5-6-5  fog
3-1-2-5-4  episode     3-1-4-3-2  farm        3-1-5-6-6  foil
3-1-2-5-5  equal       3-1-4-3-3  fashion     3-1-6-1-1  fold
3-1-2-5-6  equip       3-1-4-3-4  fat         3-1-6-1-2  follow
3-1-2-6-1  era         3-1-4-3-5  fatal       3-1-6-1-3  food
3-1-2-6-2  erase       3-1-4-3-6  father      3-1-6-1-4  foot
3-1-2-6-3  erode       3-1-4-4-1  fatigue     3-1-6-1-5  force
3-1-2-6-4  erosion     3-1-4-4-2  fault       3-1-6-1-6  forest
3-1-2-6-5  error       3-1-4-4-3  favorite    3-1-6-2-1  forget
3-1-2-6-6  erupt       3-1-4-4-4  feature     3-1-6-2-2  fork
3-1-3-1-1  escape      3-1-4-4-5  february    3-1-6-2-3  fortune
3-1-3-1-2  essay       3-1-4-4-6  federal     3-1-6-2-4  forum
3-1-3-1-3  essence     3-1-4-5-1  fee         3-1-6-2-5  forward
3-1-3-1-4  estate      3-1-4-5-2  feed        3-1-6-2-6  fossil

BIP39 dice table -- throw 5d6, read left to right   page 17 of 45
1632 of 7776 throws say (reroll)  this page: 3-1-6-3-1 .. 3-2-5-1-6

3-1-6-3-1  foster      3-2-1-6-5  globe       3-2-3-4-3  hedgehog
3-1-6-3-2  found       3-2-1-6-6  gloom       3-2-3-4-4  height
3-1-6-3-3  fox         3-2-2-1-1  glory       3-2-3-4-5  hello
3-1-6-3-4  fragile     3-2-2-1-2  glove       3-2-3-4-6  helmet
3-1-6-3-5  frame       3-2-2-1-3  glow        3-2-3-5-1  help
3-1-6-3-6  frequent    3-2-2-1-4  glue        3-2-3-5-2  hen
3-1-6-4-1  fresh       3-2-2-1-5  goat        3-2-3-5-3  hero
3-1-6-4-2  friend      3-2-2-1-6  goddess     3-2-3-5-4  hidden
3-1-6-4-3  fringe      3-2-2-2-1  gold        3-2-3-5-5  high
3-1-6-4-4  frog        3-2-2-2-2  good        3-2-3-5-6  hill
3-1-6-4-5  front       3-2-2-2-3  goose       3-2-3-6-1  hint
3-1-6-4-6  frost       3-2-2-2-4  gorilla     3-2-3-6-2  hip
3-1-6-5-1  frown       3-2-2-2-5  gospel      3-2-3-6-3  hire
3-1-6-5-2  frozen      3-2-2-2-6  gossip      3-2-3-6-4  history
3-1-6-5-3  fruit       3-2-2-3-1  govern      3-2-3-6-5  hobby
3-1-6-5-4  fuel        3-2-2-3-2  gown        3-2-3-6-6  hockey
3-1-6-5-5  fun         3-2-2-3-3  grab        3-2-4-1-1  hold
3-1-6-5-6  funny       3-2-2-3-4  grace       3-2-4-1-2  hole
3-1-6-6-1  furnace     3-2-2-3-5  grain       3-2-4-1-3  holiday
3-1-6-6-2  fury        3-2-2-3-6  grant       3-2-4-1-4  hollow
3-1-6-6-3  future      3-2-2-4-1  grape       3-2-4-1-5  home
3-1-6-6-4  gadget      3-2-2-4-2  grass       3-2-4-1-6  honey
3-1-6-6-5  gain        3-2-2-4-3  gravity     3-2-4-2-1  hood
3-1-6-6-6  galaxy      3-2-2-4-4  great       3-2-4-2-2  hope
3-2-1-1-1  gallery     3-2-2-4-5  green       3-2-4-2-3  horn
3-2-1-1-2  game        3-2-2-4-6  grid        3-2-4-2-4  horror
3-2-1-1-3  gap         3-2-2-5-1  grief       3-2-4-2-5  horse
3-2-1-1-4  garage      3-2-2-5-2  grit        3-2-4-2-6  hospital
3-2-1-1-5  garbage     3-2-2-5-3  grocery     3-2-4-3-1  host
3-2-1-1-6  garden      3-2-2-5-4  group       3-2-4-3-2  hotel
3-2-1-2-1  garlic      3-2-2-5-5  grow        3-2-4-3-3  hour
3-2-1-2-2  garment     3-2-2-5-6  grunt       3-2-4-3-4  hover
3-2-1-2-3  gas         3-2-2-6-1  guard       3-2-4-3-5  hub
3-2-1-2-4  gasp        3-2-2-6-2  guess       3-2-4-3-6  huge
3-2-1-2-5  gate        3-2-2-6-3  guide       3-2-4-4-1  human
3-2-1-2-6  gather      3-2-2-6-4  guilt       3-2-4-4-2  humble
3-2-1-3-1  gauge       3-2-2-6-5  guitar      3-2-4-4-3  humor
3-2-1-3-2  gaze        3-2-2-6-6  gun         3-2-4-4-4  hundred
3-2-1-3-3  general     3-2-3-1-1  gym         3-2-4-4-5  hungry
3-2-1-3-4  genius      3-2-3-1-2  habit       3-2-4-4-6  hunt
3-2-1-3-5  genre       3-2-3-1-3  hair        3-2-4-5-1  hurdle
3-2-1-3-6  gentle      3-2-3-1-4  half        3-2-4-5-2  hurry
3-2-1-4-1  genuine     3-2-3-1-5  hammer      3-2-4-5-3  hurt
3-2-1-4-2  gesture     3-2-3-1-6  hamster     3-2-4-5-4  husband
3-2-1-4-3  ghost       3-2-3-2-1  hand        3-2-4-5-5  hybrid
3-2-1-4-4  giant       3-2-3-2-2  happy       3-2-4-5-6  ice
3-2-1-4-5  gift        3-2-3-2-3  harbor      3-2-4-6-1  icon
3-2-1-4-6  giggle      3-2-3-2-4  hard        3-2-4-6-2  idea
3-2-1-5-1  ginger      3-2-3-2-5  harsh       3-2-4-6-3  identify
3-2-1-5-2  giraffe     3-2-3-2-6  harvest     3-2-4-6-4  idle
3-2-1-5-3  girl        3-2-3-3-1  hat         3-2-4-6-5  ignore
3-2-1-5-4  give        3-2-3-3-2  have        3-2-4-6-6  ill
3-2-1-5-5  glad        3-2-3-3-3  hawk        3-2-5-1-1  illegal
3-2-1-5-6  glance      3-2-3-3-4  hazard      3-2-5-1-2  illness
3-2-1-6-1  glare       3-2-3-3-5  head        3-2-5-1-3  image
3-2-1-6-2  glass       3-2-3-3-6  health      3-2-5-1-4  imitate
3-2-1-6-3  glide       3-2-3-4-1  heart       3-2-5-1-5  immense
3-2-1-6-4  glimpse     3-2-3-4-2  heavy       3-2-5-1-6  immune

BIP39 dice table -- throw 5d6, read left to right   page 18 of 45
1632 of 7776 throws say (reroll)  this page: 3-2-5-2-1 .. 3-3-3-6-6

3-2-5-2-1  impact      3-2-6-5-5  jungle      3-3-2-3-3  leopard
3-2-5-2-2  impose      3-2-6-5-6  junior      3-3-2-3-4  lesson
3-2-5-2-3  improve     3-2-6-6-1  junk        3-3-2-3-5  letter
3-2-5-2-4  impulse     3-2-6-6-2  just        3-3-2-3-6  level
3-2-5-2-5  inch        3-2-6-6-3  kangaroo    3-3-2-4-1  liar
3-2-5-2-6  include     3-2-6-6-4  keen        3-3-2-4-2  liberty
3-2-5-3-1  income      3-2-6-6-5  keep        3-3-2-4-3  library
3-2-5-3-2  increase    3-2-6-6-6  ketchup     3-3-2-4-4  license
3-2-5-3-3  index       3-3-1-1-1  key         3-3-2-4-5  life
3-2-5-3-4  indicate    3-3-1-1-2  kick        3-3-2-4-6  lift
3-2-5-3-5  indoor      3-3-1-1-3  kid         3-3-2-5-1  light
3-2-5-3-6  industry    3-3-1-1-4  kidney      3-3-2-5-2  like
3-2-5-4-1  infant      3-3-1-1-5  kind        3-3-2-5-3  limb
3-2-5-4-2  inflict     3-3-1-1-6  kingdom     3-3-2-5-4  limit
3-2-5-4-3  inform      3-3-1-2-1  kiss        3-3-2-5-5  link
3-2-5-4-4  inhale      3-3-1-2-2  kit         3-3-2-5-6  lion
3-2-5-4-5  inherit     3-3-1-2-3  kitchen     3-3-2-6-1  liquid
3-2-5-4-6  initial     3-3-1-2-4  kite        3-3-2-6-2  list
3-2-5-5-1  inject      3-3-1-2-5  kitten      3-3-2-6-3  little
3-2-5-5-2  injury      3-3-1-2-6  kiwi        3-3-2-6-4  live
3-2-5-5-3  inmate      3-3-1-3-1  knee        3-3-2-6-5  lizard
3-2-5-5-4  inner       3-3-1-3-2  knife       3-3-2-6-6  load
3-2-5-5-5  innocent    3-3-1-3-3  knock       3-3-3-1-1  loan
3-2-5-5-6  input       3-3-1-3-4  know        3-3-3-1-2  lobster
3-2-5-6-1  inquiry     3-3-1-3-5  lab         3-3-3-1-3  local
3-2-5-6-2  insane      3-3-1-3-6  label       3-3-3-1-4  lock
3-2-5-6-3  insect      3-3-1-4-1  labor       3-3-3-1-5  logic
3-2-5-6-4  inside      3-3-1-4-2  ladder      3-3-3-1-6  lonely
3-2-5-6-5  inspire     3-3-1-4-3  lady        3-3-3-2-1  long
3-2-5-6-6  install     3-3-1-4-4  lake        3-3-3-2-2  loop
3-2-6-1-1  intact      3-3-1-4-5  lamp        3-3-3-2-3  lottery
3-2-6-1-2  interest    3-3-1-4-6  language    3-3-3-2-4  loud
